"age.metadata","genename","measurement","percent"
11,"FABP7",1,0.504767093435031
12,"FABP7",0.384574810506006,0.375469209698691
15,"FABP7",0.249618871353203,0.181487856186651
19,"FABP7",0,0.130947620951619
24,"FABP7",0.201440542382724,0.246611177170036
11,"KIT",0,0.0160719150095342
12,"KIT",0.434347324634861,0.265598052145683
15,"KIT",1,0.280168292216485
19,"KIT",0.528874854655504,0.160735705717713
24,"KIT",0.399260126536287,0.169797859690844
11,"PROM1",0.803922525024196,0.0269681285753201
12,"PROM1",1,0.0186669372019884
15,"PROM1",0.0781821185724774,0.00286861732644865
19,"PROM1",0.0388270867812642,0.00499800079968013
24,"PROM1",0,0.00511296076099881
11,"PECAM1",0,0.0253336965404522
12,"PECAM1",0.363094255039754,0.0426093131784519
15,"PECAM1",0.599244858720861,0.0384394721744119
19,"PECAM1",0.817933758635473,0.0803678528588565
24,"PECAM1",1,0.121997621878716
11,"CD44",0,0.191773358757832
12,"CD44",0.0644769359480857,0.302830475803997
15,"CD44",0.388909131050018,0.588449034232167
19,"CD44",1,0.863654538184726
24,"CD44",0.906297781462015,0.875743162901308
11,"PTPRC",0.0188081728519826,0.000817216017433942
12,"PTPRC",0,0.000608704473977884
15,"PTPRC",0.437503990753404,0.00114744693057946
19,"PTPRC",1,0.00259896041583367
24,"PTPRC",0.69526848964751,0.00380499405469679
11,"CD9",0,0.0343230727322256
12,"CD9",0.0669817728758952,0.142842649893477
15,"CD9",0.184199408586026,0.259131765155862
19,"CD9",0.832342952612173,0.725909636145542
24,"CD9",1,0.879904875148633
11,"CALCA",0.00762735130320756,0.0615636066466903
12,"CALCA",0,0.0237394744851375
15,"CALCA",0.149071464803986,0.199082042455536
19,"CALCA",0.473590458345066,0.313674530187925
24,"CALCA",1,0.523305588585018
11,"MET",1,0.00871697085262871
12,"MET",0.126954320899379,0.000811605965303845
15,"MET",0.102264234929649,0.00057372346528973
19,"MET",0,0
24,"MET",0.156981332573777,0.00154577883472057
11,"GJA1",0.186076069711788,0.023971669844729
12,"GJA1",1,0.0271887998376788
15,"GJA1",0.277004130910591,0.013578122011857
19,"GJA1",0.0236502615133294,0.0133946421431427
24,"GJA1",0,0.014268727705113
11,"CUX1",0.0740639435250379,0.415145736856442
12,"CUX1",1,0.403165263264685
15,"CUX1",0.849606919875028,0.293363931918149
19,"CUX1",0.0108068848700137,0.370651739304278
24,"CUX1",0,0.501545778834721
11,"GAD2",1,0.00108962135657859
12,"GAD2",0.594695742410901,0.000710155219640864
15,"GAD2",0,0
19,"GAD2",0.424777175340876,0.00079968012794882
24,"GAD2",0.823799334097264,0.000832342449464923
11,"GFAP",1,0.000544810678289294
12,"GFAP",0,0
15,"GFAP",0,0
19,"GFAP",0,0
24,"GFAP",0,0
11,"ISL1",0.952969109521003,0.999182783982566
12,"ISL1",1,0.99797098508674
15,"ISL1",0.814192977519115,0.975521132147638
19,"ISL1",0.194782378261583,0.956217512994802
24,"ISL1",0,0.94268727705113
11,"MKI67",1,0.0847180604739853
12,"MKI67",0.505883694394893,0.0377396773866288
15,"MKI67",0.0925541911468728,0.0101357812201186
19,"MKI67",0,0.0109956017592963
24,"MKI67",0.348316749378017,0.0469678953626635
11,"MAFA",1,0.00163443203486788
12,"MAFA",0.227665359450853,0.000304352236988942
15,"MAFA",0,0
19,"MAFA",0,0
24,"MAFA",0,0
11,"MAP2",0.623929888051402,0.776900027240534
12,"MAP2",1,0.750634067160394
15,"MAP2",0.560066373683421,0.506980302161025
19,"MAP2",0.177111458155513,0.419632147141144
24,"MAP2",0,0.413912009512485
11,"CDH2",0.361534904086869,0.728684282211931
12,"CDH2",1,0.807243583240337
15,"CDH2",0.48077878199698,0.544463568559954
19,"CDH2",0.202793942546291,0.601759296281487
24,"CDH2",0,0.647681331747919
11,"NES",1,0.131571778806865
12,"NES",0.403767602391995,0.0459571877853302
15,"NES",0.0252575814695735,0.00650219927328361
19,"NES",0,0.00599760095961615
24,"NES",0.00422100463349519,0.0098692033293698
11,"RBFOX3",0,0.823753745573413
12,"RBFOX3",0.295340791413662,0.715227756924013
15,"RBFOX3",1,0.666666666666667
19,"RBFOX3",0.967850711640424,0.787485005997601
24,"RBFOX3",0.996589949368635,0.889655172413793
11,"NEUROD1",0.57652648505932,0.404249523290656
12,"NEUROD1",1,0.262453079030131
15,"NEUROD1",0.0603711348727425,0.0508701472556894
19,"NEUROD1",0.0179074067236679,0.0441823270691723
24,"NEUROD1",0,0.0366230677764566
11,"NEFH",0.0458405556451281,0.288749659493326
12,"NEFH",0,0.174901085522979
15,"NEFH",0.0922953173467651,0.224325874928285
19,"NEFH",0.673698642351462,0.596761295481807
24,"NEFH",1,0.725683709869203
11,"NGFR",0.963566512306638,0.955597929719422
12,"NGFR",0,0.590950593486862
15,"NGFR",0.49030489648578,0.587110346146491
19,"NGFR",0.978551172251507,0.445221911235506
24,"NGFR",1,0.54423305588585
11,"PDGFRA",0,0.0051757014437483
12,"PDGFRA",0.594334616327526,0.0121740894795577
15,"PDGFRA",1,0.0152992924077261
19,"PDGFRA",0.778987384208182,0.0187924830067973
24,"PDGFRA",0.760016903420959,0.0286563614744352
11,"UCHL1",1,0.995641514573686
12,"UCHL1",0.40158546804774,0.967129958405194
15,"UCHL1",0.434496360079368,0.920443679479824
19,"UCHL1",0,0.964414234306277
24,"UCHL1",0.741473334925536,0.992033293697979
11,"RET",0.0373585529858231,0.147371288477254
12,"RET",0,0.0984072232930912
15,"RET",0.108653689036021,0.216484987569325
19,"RET",0.926753284564832,0.741903238704518
24,"RET",1,0.889179548156956
11,"RUNX3",1,0.593026423317897
12,"RUNX3",0.176701060214006,0.236177335903419
15,"RUNX3",0,0.00669344042838019
19,"RUNX3",0.0306510046502045,0.0273890443822471
24,"RUNX3",0.0128258937659461,0.0185493460166468
11,"SOX1",0,0
12,"SOX1",1,0.00142031043928173
15,"SOX1",0,0
19,"SOX1",0,0
24,"SOX1",0,0
11,"SOX10",1,0.101879596840098
12,"SOX10",0.285679719710546,0.0397686922998884
15,"SOX10",0.220939103337686,0.0244788678523618
19,"SOX10",0,0.015593762495002
24,"SOX10",0.0807798656945047,0.0318668252080856
11,"SOX2",1,0.105148460909834
12,"SOX2",0.0342947440962804,0.0240438267221264
15,"SOX2",0.172245260770646,0.0240963855421687
19,"SOX2",0,0.0163934426229508
24,"SOX2",0.0320442166962837,0.0261593341260404
11,"THY1",0,0.00435848542631436
12,"THY1",0.00617932989052107,0.015521964086436
15,"THY1",0.130162830172374,0.115127175368139
19,"THY1",0.666637669323533,0.256697321071571
24,"THY1",1,0.314268727705113
11,"NTRK1",0,0.229910106238082
12,"NTRK1",1,0.94450644212235
15,"NTRK1",0.43091862744159,0.816790973417479
19,"NTRK1",0.204373675610134,0.732706917233107
24,"NTRK1",0.139353176058028,0.772770511296076
11,"NTRK2",1,0.454099700354127
12,"NTRK2",0,0.0590443339758547
15,"NTRK2",0.302256185262364,0.0917957544463569
19,"NTRK2",0.453620483537179,0.103358656537385
24,"NTRK2",0.361411213822453,0.126040428061831
11,"NTRK3",1,0.676654862435304
12,"NTRK3",0.0276443373195122,0.129856954448615
15,"NTRK3",0,0.116274622298719
19,"NTRK3",0.259764998410403,0.273690523790484
24,"NTRK3",0.268347926736801,0.351367419738407
11,"TUBB3",0.804735104593834,1
12,"TUBB3",1,0.998478238815055
15,"TUBB3",0.282531888229719,0.9720787913559
19,"TUBB3",0,0.974410235905638
24,"TUBB3",0.0656644315579694,0.989060642092747
11,"VIM",0.483904563146712,0.99237265050395
12,"VIM",1,0.99218829258395
15,"VIM",0.17934499185262,0.691719257984318
19,"VIM",0,0.335065973610556
24,"VIM",0.00797707306318121,0.50332936979786
13,"FABP7",NA,NA
13,"KIT",NA,NA
13,"PROM1",NA,NA
13,"PECAM1",NA,NA
13,"CD44",NA,NA
13,"PTPRC",NA,NA
13,"CD9",NA,NA
13,"CALCA",NA,NA
13,"MET",NA,NA
13,"GJA1",NA,NA
13,"CUX1",NA,NA
13,"GAD2",NA,NA
13,"GFAP",NA,NA
13,"ISL1",NA,NA
13,"MKI67",NA,NA
13,"MAFA",NA,NA
13,"MAP2",NA,NA
13,"CDH2",NA,NA
13,"NES",NA,NA
13,"RBFOX3",NA,NA
13,"NEUROD1",NA,NA
13,"NEFH",NA,NA
13,"NGFR",NA,NA
13,"PDGFRA",NA,NA
13,"UCHL1",NA,NA
13,"RET",NA,NA
13,"RUNX3",NA,NA
13,"SOX1",NA,NA
13,"SOX10",NA,NA
13,"SOX2",NA,NA
13,"THY1",NA,NA
13,"NTRK1",NA,NA
13,"NTRK2",NA,NA
13,"NTRK3",NA,NA
13,"TUBB3",NA,NA
13,"VIM",NA,NA
14,"FABP7",NA,NA
14,"KIT",NA,NA
14,"PROM1",NA,NA
14,"PECAM1",NA,NA
14,"CD44",NA,NA
14,"PTPRC",NA,NA
14,"CD9",NA,NA
14,"CALCA",NA,NA
14,"MET",NA,NA
14,"GJA1",NA,NA
14,"CUX1",NA,NA
14,"GAD2",NA,NA
14,"GFAP",NA,NA
14,"ISL1",NA,NA
14,"MKI67",NA,NA
14,"MAFA",NA,NA
14,"MAP2",NA,NA
14,"CDH2",NA,NA
14,"NES",NA,NA
14,"RBFOX3",NA,NA
14,"NEUROD1",NA,NA
14,"NEFH",NA,NA
14,"NGFR",NA,NA
14,"PDGFRA",NA,NA
14,"UCHL1",NA,NA
14,"RET",NA,NA
14,"RUNX3",NA,NA
14,"SOX1",NA,NA
14,"SOX10",NA,NA
14,"SOX2",NA,NA
14,"THY1",NA,NA
14,"NTRK1",NA,NA
14,"NTRK2",NA,NA
14,"NTRK3",NA,NA
14,"TUBB3",NA,NA
14,"VIM",NA,NA
16,"FABP7",NA,NA
16,"KIT",NA,NA
16,"PROM1",NA,NA
16,"PECAM1",NA,NA
16,"CD44",NA,NA
16,"PTPRC",NA,NA
16,"CD9",NA,NA
16,"CALCA",NA,NA
16,"MET",NA,NA
16,"GJA1",NA,NA
16,"CUX1",NA,NA
16,"GAD2",NA,NA
16,"GFAP",NA,NA
16,"ISL1",NA,NA
16,"MKI67",NA,NA
16,"MAFA",NA,NA
16,"MAP2",NA,NA
16,"CDH2",NA,NA
16,"NES",NA,NA
16,"RBFOX3",NA,NA
16,"NEUROD1",NA,NA
16,"NEFH",NA,NA
16,"NGFR",NA,NA
16,"PDGFRA",NA,NA
16,"UCHL1",NA,NA
16,"RET",NA,NA
16,"RUNX3",NA,NA
16,"SOX1",NA,NA
16,"SOX10",NA,NA
16,"SOX2",NA,NA
16,"THY1",NA,NA
16,"NTRK1",NA,NA
16,"NTRK2",NA,NA
16,"NTRK3",NA,NA
16,"TUBB3",NA,NA
16,"VIM",NA,NA
17,"FABP7",NA,NA
17,"KIT",NA,NA
17,"PROM1",NA,NA
17,"PECAM1",NA,NA
17,"CD44",NA,NA
17,"PTPRC",NA,NA
17,"CD9",NA,NA
17,"CALCA",NA,NA
17,"MET",NA,NA
17,"GJA1",NA,NA
17,"CUX1",NA,NA
17,"GAD2",NA,NA
17,"GFAP",NA,NA
17,"ISL1",NA,NA
17,"MKI67",NA,NA
17,"MAFA",NA,NA
17,"MAP2",NA,NA
17,"CDH2",NA,NA
17,"NES",NA,NA
17,"RBFOX3",NA,NA
17,"NEUROD1",NA,NA
17,"NEFH",NA,NA
17,"NGFR",NA,NA
17,"PDGFRA",NA,NA
17,"UCHL1",NA,NA
17,"RET",NA,NA
17,"RUNX3",NA,NA
17,"SOX1",NA,NA
17,"SOX10",NA,NA
17,"SOX2",NA,NA
17,"THY1",NA,NA
17,"NTRK1",NA,NA
17,"NTRK2",NA,NA
17,"NTRK3",NA,NA
17,"TUBB3",NA,NA
17,"VIM",NA,NA
18,"FABP7",NA,NA
18,"KIT",NA,NA
18,"PROM1",NA,NA
18,"PECAM1",NA,NA
18,"CD44",NA,NA
18,"PTPRC",NA,NA
18,"CD9",NA,NA
18,"CALCA",NA,NA
18,"MET",NA,NA
18,"GJA1",NA,NA
18,"CUX1",NA,NA
18,"GAD2",NA,NA
18,"GFAP",NA,NA
18,"ISL1",NA,NA
18,"MKI67",NA,NA
18,"MAFA",NA,NA
18,"MAP2",NA,NA
18,"CDH2",NA,NA
18,"NES",NA,NA
18,"RBFOX3",NA,NA
18,"NEUROD1",NA,NA
18,"NEFH",NA,NA
18,"NGFR",NA,NA
18,"PDGFRA",NA,NA
18,"UCHL1",NA,NA
18,"RET",NA,NA
18,"RUNX3",NA,NA
18,"SOX1",NA,NA
18,"SOX10",NA,NA
18,"SOX2",NA,NA
18,"THY1",NA,NA
18,"NTRK1",NA,NA
18,"NTRK2",NA,NA
18,"NTRK3",NA,NA
18,"TUBB3",NA,NA
18,"VIM",NA,NA
20,"FABP7",NA,NA
20,"KIT",NA,NA
20,"PROM1",NA,NA
20,"PECAM1",NA,NA
20,"CD44",NA,NA
20,"PTPRC",NA,NA
20,"CD9",NA,NA
20,"CALCA",NA,NA
20,"MET",NA,NA
20,"GJA1",NA,NA
20,"CUX1",NA,NA
20,"GAD2",NA,NA
20,"GFAP",NA,NA
20,"ISL1",NA,NA
20,"MKI67",NA,NA
20,"MAFA",NA,NA
20,"MAP2",NA,NA
20,"CDH2",NA,NA
20,"NES",NA,NA
20,"RBFOX3",NA,NA
20,"NEUROD1",NA,NA
20,"NEFH",NA,NA
20,"NGFR",NA,NA
20,"PDGFRA",NA,NA
20,"UCHL1",NA,NA
20,"RET",NA,NA
20,"RUNX3",NA,NA
20,"SOX1",NA,NA
20,"SOX10",NA,NA
20,"SOX2",NA,NA
20,"THY1",NA,NA
20,"NTRK1",NA,NA
20,"NTRK2",NA,NA
20,"NTRK3",NA,NA
20,"TUBB3",NA,NA
20,"VIM",NA,NA
21,"FABP7",NA,NA
21,"KIT",NA,NA
21,"PROM1",NA,NA
21,"PECAM1",NA,NA
21,"CD44",NA,NA
21,"PTPRC",NA,NA
21,"CD9",NA,NA
21,"CALCA",NA,NA
21,"MET",NA,NA
21,"GJA1",NA,NA
21,"CUX1",NA,NA
21,"GAD2",NA,NA
21,"GFAP",NA,NA
21,"ISL1",NA,NA
21,"MKI67",NA,NA
21,"MAFA",NA,NA
21,"MAP2",NA,NA
21,"CDH2",NA,NA
21,"NES",NA,NA
21,"RBFOX3",NA,NA
21,"NEUROD1",NA,NA
21,"NEFH",NA,NA
21,"NGFR",NA,NA
21,"PDGFRA",NA,NA
21,"UCHL1",NA,NA
21,"RET",NA,NA
21,"RUNX3",NA,NA
21,"SOX1",NA,NA
21,"SOX10",NA,NA
21,"SOX2",NA,NA
21,"THY1",NA,NA
21,"NTRK1",NA,NA
21,"NTRK2",NA,NA
21,"NTRK3",NA,NA
21,"TUBB3",NA,NA
21,"VIM",NA,NA
22,"FABP7",NA,NA
22,"KIT",NA,NA
22,"PROM1",NA,NA
22,"PECAM1",NA,NA
22,"CD44",NA,NA
22,"PTPRC",NA,NA
22,"CD9",NA,NA
22,"CALCA",NA,NA
22,"MET",NA,NA
22,"GJA1",NA,NA
22,"CUX1",NA,NA
22,"GAD2",NA,NA
22,"GFAP",NA,NA
22,"ISL1",NA,NA
22,"MKI67",NA,NA
22,"MAFA",NA,NA
22,"MAP2",NA,NA
22,"CDH2",NA,NA
22,"NES",NA,NA
22,"RBFOX3",NA,NA
22,"NEUROD1",NA,NA
22,"NEFH",NA,NA
22,"NGFR",NA,NA
22,"PDGFRA",NA,NA
22,"UCHL1",NA,NA
22,"RET",NA,NA
22,"RUNX3",NA,NA
22,"SOX1",NA,NA
22,"SOX10",NA,NA
22,"SOX2",NA,NA
22,"THY1",NA,NA
22,"NTRK1",NA,NA
22,"NTRK2",NA,NA
22,"NTRK3",NA,NA
22,"TUBB3",NA,NA
22,"VIM",NA,NA
23,"FABP7",NA,NA
23,"KIT",NA,NA
23,"PROM1",NA,NA
23,"PECAM1",NA,NA
23,"CD44",NA,NA
23,"PTPRC",NA,NA
23,"CD9",NA,NA
23,"CALCA",NA,NA
23,"MET",NA,NA
23,"GJA1",NA,NA
23,"CUX1",NA,NA
23,"GAD2",NA,NA
23,"GFAP",NA,NA
23,"ISL1",NA,NA
23,"MKI67",NA,NA
23,"MAFA",NA,NA
23,"MAP2",NA,NA
23,"CDH2",NA,NA
23,"NES",NA,NA
23,"RBFOX3",NA,NA
23,"NEUROD1",NA,NA
23,"NEFH",NA,NA
23,"NGFR",NA,NA
23,"PDGFRA",NA,NA
23,"UCHL1",NA,NA
23,"RET",NA,NA
23,"RUNX3",NA,NA
23,"SOX1",NA,NA
23,"SOX10",NA,NA
23,"SOX2",NA,NA
23,"THY1",NA,NA
23,"NTRK1",NA,NA
23,"NTRK2",NA,NA
23,"NTRK3",NA,NA
23,"TUBB3",NA,NA
23,"VIM",NA,NA
